Month,Sector,Jurisdiction,Number_of_Agreements,Number_of_Employees,Duration_Months_Avg,First_Year_Pct_Adjustment_Avg,Annual_Pct_Adjustment_Avg,Extraction_Date
All industries,Q1 2024,Provincial Jurisdiction,27,174746,46.0,2.9,2.6,2025-10-21
All industries,Q2 2024,All Jurisdictions,56,653329,53.5,5.3,3.5,2025-10-21
All industries,Q2 2024,Federal Jurisdiction,6,32460,23.5,4.1,4.1,2025-10-21
All industries,Q2 2024,Provincial Jurisdiction,50,620869,55.1,5.4,3.5,2025-10-21
All industries,Q3 2024,All Jurisdictions,27,95429,42.8,4.1,3.3,2025-10-21
All industries,Q3 2024,Federal Jurisdiction,4,10857,47.9,5.6,3.8,2025-10-21
All industries,Q3 2024,Provincial Jurisdiction,23,84572,42.1,3.9,3.3,2025-10-21
All industries,Q4 2024,All Jurisdictions,29,177872,50.3,4.8,3.7,2025-10-21
All industries,Q4 2024,Federal Jurisdiction,7,11704,46.8,4.7,3.2,2025-10-21
All industries,Q4 2024,Provincial Jurisdiction,22,166168,50.6,4.8,3.7,2025-10-21
All industries,Q1 2025,All Jurisdictions,21,50994,49.7,4.2,3.4,2025-10-21
All industries,Q1 2025,Federal Jurisdiction,6,13263,46.3,4.9,3.8,2025-10-21
All industries,Q1 2025,Provincial Jurisdiction,15,37731,50.8,3.9,3.2,2025-10-21
All industries,Q2 2025,All Jurisdictions,26,202589,46.9,5.8,4.4,2025-10-21
All industries,Q2 2025,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
All industries,Q2 2025,Provincial Jurisdiction,25,201856,46.9,5.8,4.4,2025-10-21
Primary industries,Q3 2022,All Jurisdictions,1,1011,60.0,2.0,2.0,2025-10-21
Primary industries,Q3 2022,Provincial Jurisdiction,1,1011,60.0,2.0,2.0,2025-10-21
Primary industries,Q1 2023,All Jurisdictions,1,750,48.0,3.5,2.9,2025-10-21
Primary industries,Q1 2023,Provincial Jurisdiction,1,750,48.0,3.5,2.9,2025-10-21
Primary industries,Q1 2024,All Jurisdictions,1,3317,36.0,5.0,4.0,2025-10-21
Primary industries,Q1 2024,Provincial Jurisdiction,1,3317,36.0,5.0,4.0,2025-10-21
Primary industries,Q1 2025,All Jurisdictions,1,536,36.0,3.0,3.0,2025-10-21
Primary industries,Q1 2025,Federal Jurisdiction,1,536,36.0,3.0,3.0,2025-10-21
Utilities,Q3 2022,All Jurisdictions,2,1425,47.6,0.3,1.0,2025-10-21
Utilities,Q3 2022,Provincial Jurisdiction,2,1425,47.6,0.3,1.0,2025-10-21
Utilities,Q4 2022,All Jurisdictions,1,780,35.9,1.0,2.3,2025-10-21
Utilities,Q4 2022,Provincial Jurisdiction,1,780,35.9,1.0,2.3,2025-10-21
Utilities,Q1 2023,All Jurisdictions,3,2972,40.1,2.2,2.6,2025-10-21
Utilities,Q1 2023,Provincial Jurisdiction,3,2972,40.1,2.2,2.6,2025-10-21
Utilities,Q2 2023,All Jurisdictions,3,7554,27.1,4.3,3.7,2025-10-21
Utilities,Q2 2023,Provincial Jurisdiction,3,7554,27.1,4.3,3.7,2025-10-21
Utilities,Q3 2023,All Jurisdictions,1,5408,30.0,4.5,4.8,2025-10-21
Utilities,Q3 2023,Provincial Jurisdiction,1,5408,30.0,4.5,4.8,2025-10-21
Utilities,Q4 2023,All Jurisdictions,1,3220,24.0,3.7,3.5,2025-10-21
Utilities,Q4 2023,Provincial Jurisdiction,1,3220,24.0,3.7,3.5,2025-10-21
Utilities,Q1 2024,All Jurisdictions,1,520,36.0,3.0,2.7,2025-10-21
Utilities,Q1 2024,Provincial Jurisdiction,1,520,36.0,3.0,2.7,2025-10-21
Utilities,Q2 2024,All Jurisdictions,1,1690,36.0,3.0,2.7,2025-10-21
Utilities,Q2 2024,Provincial Jurisdiction,1,1690,36.0,3.0,2.7,2025-10-21
Utilities,Q4 2024,All Jurisdictions,1,1151,24.0,4.0,3.7,2025-10-21
Utilities,Q4 2024,Provincial Jurisdiction,1,1151,24.0,4.0,3.7,2025-10-21
Utilities,Q1 2025,All Jurisdictions,1,980,36.0,2.8,3.5,2025-10-21
Utilities,Q1 2025,Provincial Jurisdiction,1,980,36.0,2.8,3.5,2025-10-21
Utilities,Q2 2025,All Jurisdictions,1,2300,60.0,3.0,3.5,2025-10-21
Utilities,Q2 2025,Provincial Jurisdiction,1,2300,60.0,3.0,3.5,2025-10-21
Construction,Q3 2022,All Jurisdictions,3,8120,34.5,10.8,6.0,2025-10-21
Construction,Q3 2022,Provincial Jurisdiction,3,8120,34.5,10.8,6.0,2025-10-21
Construction,Q4 2022,All Jurisdictions,1,790,30.1,12.5,6.7,2025-10-21
Construction,Q4 2022,Provincial Jurisdiction,1,790,30.1,12.5,6.7,2025-10-21
Construction,Q1 2023,All Jurisdictions,3,14650,26.5,7.5,5.2,2025-10-21
Construction,Q1 2023,Provincial Jurisdiction,3,14650,26.5,7.5,5.2,2025-10-21
Construction,Q2 2023,All Jurisdictions,4,9202,24.0,8.4,7.3,2025-10-21
Construction,Q2 2023,Provincial Jurisdiction,4,9202,24.0,8.4,7.3,2025-10-21
Construction,Q3 2023,All Jurisdictions,2,1849,56.8,12.8,4.0,2025-10-21
Construction,Q3 2023,Federal Jurisdiction,1,850,60.0,4.0,3.8,2025-10-21
Construction,Q3 2023,Provincial Jurisdiction,1,999,54.0,20.3,4.2,2025-10-21
Construction,Q2 2024,All Jurisdictions,1,700,48.0,2.8,2.6,2025-10-21
Construction,Q2 2024,Federal Jurisdiction,1,700,48.0,2.8,2.6,2025-10-21
Construction,Q2 2025,All Jurisdictions,8,123854,48.0,7.2,5.0,2025-10-21
Construction,Q2 2025,Provincial Jurisdiction,8,123854,48.0,7.2,5.0,2025-10-21
Manufacturing,Q3 2022,All Jurisdictions,3,3650,60.0,11.8,4.8,2025-10-21
Manufacturing,Q3 2022,Provincial Jurisdiction,3,3650,60.0,11.8,4.8,2025-10-21
Manufacturing,Q4 2022,All Jurisdictions,2,2560,43.9,6.5,4.2,2025-10-21
Manufacturing,Q4 2022,Provincial Jurisdiction,2,2560,43.9,6.5,4.2,2025-10-21
Manufacturing,Q1 2023,All Jurisdictions,1,596,36.0,3.9,3.0,2025-10-21
Manufacturing,Q1 2023,Provincial Jurisdiction,1,596,36.0,3.9,3.0,2025-10-21
Manufacturing,Q2 2023,All Jurisdictions,2,1800,42.9,4.1,3.7,2025-10-21
Manufacturing,Q2 2023,Provincial Jurisdiction,2,1800,42.9,4.1,3.7,2025-10-21
Manufacturing,Q3 2023,All Jurisdictions,3,7490,37.7,9.0,4.9,2025-10-21
Manufacturing,Q3 2023,Provincial Jurisdiction,3,7490,37.7,9.0,4.9,2025-10-21
Manufacturing,Q4 2023,All Jurisdictions,3,13000,36.4,9.8,5.2,2025-10-21
Manufacturing,Q4 2023,Provincial Jurisdiction,3,13000,36.4,9.8,5.2,2025-10-21
Manufacturing,Q1 2024,All Jurisdictions,1,1303,36.0,7.8,4.6,2025-10-21
Manufacturing,Q1 2024,Provincial Jurisdiction,1,1303,36.0,7.8,4.6,2025-10-21
Manufacturing,Q2 2024,All Jurisdictions,3,2540,51.8,8.2,4.3,2025-10-21
Manufacturing,Q2 2024,Provincial Jurisdiction,3,2540,51.8,8.2,4.3,2025-10-21
Manufacturing,Q3 2024,All Jurisdictions,2,3561,29.8,13.8,8.5,2025-10-21
Manufacturing,Q3 2024,Provincial Jurisdiction,2,3561,29.8,13.8,8.5,2025-10-21
Manufacturing,Q4 2024,All Jurisdictions,1,1400,60.0,8.0,4.5,2025-10-21
Manufacturing,Q4 2024,Provincial Jurisdiction,1,1400,60.0,8.0,4.5,2025-10-21
Manufacturing,Q1 2025,All Jurisdictions,1,2400,72.0,4.0,3.2,2025-10-21
Manufacturing,Q1 2025,Provincial Jurisdiction,1,2400,72.0,4.0,3.2,2025-10-21
Wholesale and retail trade,Q4 2022,All Jurisdictions,1,787,48.0,1.0,0.6,2025-10-21
Wholesale and retail trade,Q4 2022,Provincial Jurisdiction,1,787,48.0,1.0,0.6,2025-10-21
Wholesale and retail trade,Q3 2023,All Jurisdictions,1,1400,36.0,2.0,4.0,2025-10-21
Wholesale and retail trade,Q3 2023,Provincial Jurisdiction,1,1400,36.0,2.0,4.0,2025-10-21
Wholesale and retail trade,Q4 2023,All Jurisdictions,3,11979,60.0,9.8,4.0,2025-10-21
Wholesale and retail trade,Q4 2023,Provincial Jurisdiction,3,11979,60.0,9.8,4.0,2025-10-21
Wholesale and retail trade,Q3 2024,All Jurisdictions,1,10229,36.0,3.0,2.6,2025-10-21
Wholesale and retail trade,Q3 2024,Provincial Jurisdiction,1,10229,36.0,3.0,2.6,2025-10-21
Wholesale and retail trade,Q1 2025,All Jurisdictions,1,4947,72.0,6.0,3.3,2025-10-21
Wholesale and retail trade,Q1 2025,Provincial Jurisdiction,1,4947,72.0,6.0,3.3,2025-10-21
Wholesale and retail trade,Q2 2025,All Jurisdictions,1,878,60.0,6.7,3.9,2025-10-21
Wholesale and retail trade,Q2 2025,Provincial Jurisdiction,1,878,60.0,6.7,3.9,2025-10-21
Transportation,Q3 2022,All Jurisdictions,8,19994,49.5,3.9,3.3,2025-10-21
Transportation,Q3 2022,Federal Jurisdiction,8,19994,49.5,3.9,3.3,2025-10-21
Transportation,Q4 2022,All Jurisdictions,4,4088,51.5,3.2,2.8,2025-10-21
Transportation,Q4 2022,Federal Jurisdiction,4,4088,51.5,3.2,2.8,2025-10-21
Transportation,Q1 2023,All Jurisdictions,3,4553,34.5,1.4,1.8,2025-10-21
Transportation,Q1 2023,Federal Jurisdiction,2,1837,31.7,3.6,3.0,2025-10-21
Transportation,Q1 2023,Provincial Jurisdiction,1,2716,36.4,0.0,1.0,2025-10-21
Transportation,Q2 2023,All Jurisdictions,10,19783,28.7,6.6,4.1,2025-10-21
Transportation,Q2 2023,Federal Jurisdiction,8,16143,29.3,7.3,4.3,2025-10-21
Transportation,Q2 2023,Provincial Jurisdiction,2,3640,26.1,3.8,3.2,2025-10-21
Transportation,Q3 2023,All Jurisdictions,7,16358,43.9,4.5,4.3,2025-10-21
Transportation,Q3 2023,Federal Jurisdiction,5,12608,44.5,4.8,5.0,2025-10-21
Transportation,Q3 2023,Provincial Jurisdiction,2,3750,42.0,3.3,2.1,2025-10-21
Transportation,Q4 2023,All Jurisdictions,4,4178,63.8,2.4,3.1,2025-10-21
Transportation,Q4 2023,Federal Jurisdiction,2,1881,83.0,3.6,3.2,2025-10-21
Transportation,Q4 2023,Provincial Jurisdiction,2,2297,48.1,1.4,3.1,2025-10-21
Transportation,Q1 2024,All Jurisdictions,1,2100,60.0,8.2,5.4,2025-10-21
Transportation,Q1 2024,Federal Jurisdiction,1,2100,60.0,8.2,5.4,2025-10-21
Transportation,Q2 2024,All Jurisdictions,3,15250,37.1,4.4,4.0,2025-10-21
Transportation,Q2 2024,Federal Jurisdiction,2,3750,40.5,3.1,3.1,2025-10-21
Transportation,Q2 2024,Provincial Jurisdiction,1,11500,36.0,4.8,4.3,2025-10-21
Transportation,Q3 2024,All Jurisdictions,3,1857,47.7,9.7,4.3,2025-10-21
Transportation,Q3 2024,Federal Jurisdiction,3,1857,47.7,9.7,4.3,2025-10-21
Transportation,Q4 2024,All Jurisdictions,4,4994,45.1,3.9,3.1,2025-10-21
Transportation,Q4 2024,Federal Jurisdiction,3,3194,43.5,4.4,3.2,2025-10-21
Transportation,Q4 2024,Provincial Jurisdiction,1,1800,48.0,3.0,3.0,2025-10-21
Transportation,Q1 2025,All Jurisdictions,5,8457,41.3,4.5,3.7,2025-10-21
Transportation,Q1 2025,Federal Jurisdiction,4,5057,44.9,5.5,4.0,2025-10-21
Transportation,Q1 2025,Provincial Jurisdiction,1,3400,36.0,3.0,3.2,2025-10-21
Transportation,Q2 2025,All Jurisdictions,1,733,48.0,5.0,4.5,2025-10-21
Transportation,Q2 2025,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
Information and culture,Q3 2022,All Jurisdictions,6,10870,47.6,2.4,2.2,2025-10-21
Information and culture,Q3 2022,Federal Jurisdiction,4,9590,50.0,2.6,2.4,2025-10-21
Information and culture,Q3 2022,Provincial Jurisdiction,2,1280,30.0,0.8,0.8,2025-10-21
Information and culture,Q4 2022,All Jurisdictions,1,600,36.0,2.0,2.0,2025-10-21
Information and culture,Q4 2022,Federal Jurisdiction,1,600,36.0,2.0,2.0,2025-10-21
Information and culture,Q1 2023,All Jurisdictions,1,6918,63.0,0.0,2.2,2025-10-21
Information and culture,Q1 2023,Federal Jurisdiction,1,6918,63.0,0.0,2.2,2025-10-21
Information and culture,Q2 2023,All Jurisdictions,1,2160,48.1,3.2,3.2,2025-10-21
Information and culture,Q2 2023,Federal Jurisdiction,1,2160,48.1,3.2,3.2,2025-10-21
Information and culture,Q3 2023,All Jurisdictions,2,1883,46.8,5.5,2.6,2025-10-21
Information and culture,Q3 2023,Federal Jurisdiction,2,1883,46.8,5.5,2.6,2025-10-21
Information and culture,Q1 2024,All Jurisdictions,3,6400,39.1,3.3,1.8,2025-10-21
Information and culture,Q1 2024,Federal Jurisdiction,2,5100,40.2,3.2,1.6,2025-10-21
Information and culture,Q1 2024,Provincial Jurisdiction,1,1300,35.0,4.0,2.7,2025-10-21
Information and culture,Q2 2024,All Jurisdictions,3,2205,45.4,2.8,2.4,2025-10-21
Information and culture,Q2 2024,Federal Jurisdiction,1,500,36.0,2.0,2.3,2025-10-21
Information and culture,Q2 2024,Provincial Jurisdiction,2,1705,48.1,3.0,2.5,2025-10-21
Finance and professional services,Q3 2022,All Jurisdictions,4,18860,57.6,1.7,2.0,2025-10-21
Finance and professional services,Q3 2022,Federal Jurisdiction,1,560,24.0,4.0,3.5,2025-10-21
Finance and professional services,Q3 2022,Provincial Jurisdiction,3,18300,58.6,1.6,2.0,2025-10-21
Finance and professional services,Q1 2023,All Jurisdictions,1,635,36.0,4.5,4.2,2025-10-21
Finance and professional services,Q1 2023,Federal Jurisdiction,1,635,36.0,4.5,4.2,2025-10-21
Finance and professional services,Q2 2023,All Jurisdictions,3,2984,47.8,7.5,4.4,2025-10-21
Finance and professional services,Q2 2023,Federal Jurisdiction,2,1430,24.0,11.1,6.9,2025-10-21
Finance and professional services,Q2 2023,Provincial Jurisdiction,1,1554,69.8,4.2,2.0,2025-10-21
Finance and professional services,Q1 2024,All Jurisdictions,1,900,12.0,0.0,0.0,2025-10-21
Finance and professional services,Q1 2024,Federal Jurisdiction,1,900,12.0,0.0,0.0,2025-10-21
Finance and professional services,Q2 2024,All Jurisdictions,1,8510,12.0,5.0,5.0,2025-10-21
Finance and professional services,Q2 2024,Federal Jurisdiction,1,8510,12.0,5.0,5.0,2025-10-21
Finance and professional services,Q3 2024,All Jurisdictions,3,7990,31.8,4.5,2.8,2025-10-21
Finance and professional services,Q3 2024,Provincial Jurisdiction,3,7990,31.8,4.5,2.8,2025-10-21
Finance and professional services,Q4 2024,All Jurisdictions,2,7315,68.6,0.7,3.5,2025-10-21
Finance and professional services,Q4 2024,Federal Jurisdiction,1,1020,48.0,4.8,3.1,2025-10-21
Finance and professional services,Q4 2024,Provincial Jurisdiction,1,6295,72.0,0.0,3.6,2025-10-21
Finance and professional services,Q2 2025,All Jurisdictions,1,1550,36.0,4.2,4.6,2025-10-21
Finance and professional services,Q2 2025,Provincial Jurisdiction,1,1550,36.0,4.2,4.6,2025-10-21
"Education, health, and social services",Q3 2022,All Jurisdictions,13,95502,48.6,0.5,1.1,2025-10-21
"Education, health, and social services",Q3 2022,Provincial Jurisdiction,13,95502,48.6,0.5,1.1,2025-10-21
"Education, health, and social services",Q4 2022,All Jurisdictions,21,197159,38.2,4.1,3.8,2025-10-21
"Education, health, and social services",Q4 2022,Provincial Jurisdiction,21,197159,38.2,4.1,3.8,2025-10-21
"Education, health, and social services",Q1 2023,All Jurisdictions,12,22421,45.3,3.9,3.6,2025-10-21
"Education, health, and social services",Q1 2023,Provincial Jurisdiction,12,22421,45.3,3.9,3.6,2025-10-21
"Education, health, and social services",Q2 2023,All Jurisdictions,20,81194,37.4,1.7,2.2,2025-10-21
"Education, health, and social services",Q2 2023,Provincial Jurisdiction,20,81194,37.4,1.7,2.2,2025-10-21
"Education, health, and social services",Q3 2023,All Jurisdictions,16,101311,33.6,6.2,4.6,2025-10-21
"Education, health, and social services",Q3 2023,Provincial Jurisdiction,16,101311,33.6,6.2,4.6,2025-10-21
"Education, health, and social services",Q4 2023,All Jurisdictions,13,110141,50.6,2.8,2.6,2025-10-21
"Education, health, and social services",Q4 2023,Provincial Jurisdiction,13,110141,50.6,2.8,2.6,2025-10-21
"Education, health, and social services",Q1 2024,All Jurisdictions,19,144591,46.4,2.8,2.5,2025-10-21
"Education, health, and social services",Q1 2024,Provincial Jurisdiction,19,144591,46.4,2.8,2.5,2025-10-21
"Education, health, and social services",Q2 2024,All Jurisdictions,37,586903,55.8,5.5,3.5,2025-10-21
"Education, health, and social services",Q2 2024,Provincial Jurisdiction,37,586903,55.8,5.5,3.5,2025-10-21
"Education, health, and social services",Q3 2024,All Jurisdictions,10,35326,41.8,2.8,3.0,2025-10-21
"Education, health, and social services",Q3 2024,Provincial Jurisdiction,10,35326,41.8,2.8,3.0,2025-10-21
"Education, health, and social services",Q4 2024,All Jurisdictions,10,137386,52.3,5.0,3.7,2025-10-21
"Education, health, and social services",Q4 2024,Provincial Jurisdiction,10,137386,52.3,5.0,3.7,2025-10-21
"Education, health, and social services",Q1 2025,All Jurisdictions,8,13512,48.2,2.6,2.9,2025-10-21
"Education, health, and social services",Q1 2025,Provincial Jurisdiction,8,13512,48.2,2.6,2.9,2025-10-21
"Education, health, and social services",Q2 2025,All Jurisdictions,9,58878,44.0,3.4,3.2,2025-10-21
"Education, health, and social services",Q2 2025,Provincial Jurisdiction,9,58878,44.0,3.4,3.2,2025-10-21
Entertainment and hospitality,Q3 2022,All Jurisdictions,1,800,48.0,8.6,4.4,2025-10-21
Entertainment and hospitality,Q3 2022,Provincial Jurisdiction,1,800,48.0,8.6,4.4,2025-10-21
Entertainment and hospitality,Q3 2024,All Jurisdictions,1,750,36.0,5.0,3.7,2025-10-21
Entertainment and hospitality,Q3 2024,Provincial Jurisdiction,1,750,36.0,5.0,3.7,2025-10-21
Entertainment and hospitality,Q4 2024,All Jurisdictions,1,561,24.0,10.0,6.9,2025-10-21
Entertainment and hospitality,Q4 2024,Provincial Jurisdiction,1,561,24.0,10.0,6.9,2025-10-21
Entertainment and hospitality,Q2 2025,All Jurisdictions,1,1606,24.0,10.8,10.2,2025-10-21
Entertainment and hospitality,Q2 2025,Provincial Jurisdiction,1,1606,24.0,10.8,10.2,2025-10-21
Public administration,Q3 2022,All Jurisdictions,5,47713,40.5,2.2,1.9,2025-10-21
Public administration,Q3 2022,Provincial Jurisdiction,5,47713,40.5,2.2,1.9,2025-10-21
Public administration,Q4 2022,All Jurisdictions,13,39578,43.5,2.7,2.4,2025-10-21
Public administration,Q4 2022,Federal Jurisdiction,1,4500,48.0,3.5,2.8,2025-10-21
Public administration,Q4 2022,Provincial Jurisdiction,12,35078,42.9,2.5,2.4,2025-10-21
Public administration,Q1 2023,All Jurisdictions,5,8160,53.1,2.0,2.2,2025-10-21
Public administration,Q1 2023,Federal Jurisdiction,1,1950,60.0,2.8,2.9,2025-10-21
Public administration,Q1 2023,Provincial Jurisdiction,4,6210,50.9,1.8,2.0,2025-10-21
Public administration,Q2 2023,All Jurisdictions,8,183841,47.4,2.0,3.0,2025-10-21
Public administration,Q2 2023,Federal Jurisdiction,4,169343,48.0,2.0,3.0,2025-10-21
Public administration,Q2 2023,Provincial Jurisdiction,4,14498,40.8,2.8,2.6,2025-10-21
Public administration,Q3 2023,All Jurisdictions,14,33608,45.8,2.4,3.0,2025-10-21
Public administration,Q3 2023,Federal Jurisdiction,4,20995,47.0,1.7,3.0,2025-10-21
Public administration,Q3 2023,Provincial Jurisdiction,10,12613,43.6,3.5,3.0,2025-10-21
Public administration,Q4 2023,All Jurisdictions,8,38012,45.2,3.5,3.2,2025-10-21
Public administration,Q4 2023,Federal Jurisdiction,2,24660,48.0,3.8,3.3,2025-10-21
Public administration,Q4 2023,Provincial Jurisdiction,6,13352,40.0,3.0,3.1,2025-10-21
Public administration,Q1 2024,All Jurisdictions,6,29796,46.6,3.1,2.9,2025-10-21
Public administration,Q1 2024,Federal Jurisdiction,2,6081,48.0,5.2,3.2,2025-10-21
Public administration,Q1 2024,Provincial Jurisdiction,4,23715,46.3,2.5,2.8,2025-10-21
Public administration,Q2 2024,All Jurisdictions,7,35531,34.8,3.5,3.4,2025-10-21
Public administration,Q2 2024,Federal Jurisdiction,1,19000,24.0,4.0,4.0,2025-10-21
Public administration,Q2 2024,Provincial Jurisdiction,6,16531,47.3,2.9,2.7,2025-10-21
Public administration,Q3 2024,All Jurisdictions,7,35716,49.3,4.4,3.4,2025-10-21
Public administration,Q3 2024,Federal Jurisdiction,1,9000,48.0,4.8,3.7,2025-10-21
Public administration,Q3 2024,Provincial Jurisdiction,6,26716,49.8,4.3,3.3,2025-10-21
Public administration,Q4 2024,All Jurisdictions,10,25065,36.6,4.6,3.6,2025-10-21
Public administration,Q4 2024,Federal Jurisdiction,3,7490,48.0,4.8,3.2,2025-10-21
Public administration,Q4 2024,Provincial Jurisdiction,7,17575,31.8,4.5,3.7,2025-10-21
Public administration,Q1 2025,All Jurisdictions,4,20162,47.1,4.8,3.6,2025-10-21
Public administration,Q1 2025,Federal Jurisdiction,1,7670,48.0,4.7,3.7,2025-10-21
Public administration,Q1 2025,Provincial Jurisdiction,3,12492,46.5,4.8,3.6,2025-10-21
Public administration,Q2 2025,All Jurisdictions,4,12790,50.1,3.2,2.9,2025-10-21
Public administration,Q2 2025,Provincial Jurisdiction,4,12790,50.1,3.2,2.9,2025-10-21
All sectors,Q3 2022,All Jurisdictions,46,207945,47.3,2.1,1.9,2025-10-21
All sectors,Q3 2022,Federal Jurisdiction,13,30144,49.2,3.5,3.0,2025-10-21
All sectors,Q3 2022,Provincial Jurisdiction,33,177801,46.9,1.8,1.7,2025-10-21
All sectors,Q4 2022,All Jurisdictions,44,246342,39.3,3.9,3.6,2025-10-21
All sectors,Q4 2022,Federal Jurisdiction,6,9188,48.8,3.3,2.7,2025-10-21
All sectors,Q4 2022,Provincial Jurisdiction,38,237154,39.0,3.9,3.6,2025-10-21
All sectors,Q1 2023,All Jurisdictions,30,61655,42.6,3.8,3.4,2025-10-21
All sectors,Q1 2023,Federal Jurisdiction,5,11340,55.9,1.3,2.6,2025-10-21
All sectors,Q1 2023,Provincial Jurisdiction,25,50315,39.6,4.4,3.6,2025-10-21
All sectors,Q2 2023,All Jurisdictions,51,308518,42.4,2.6,3.0,2025-10-21
All sectors,Q2 2023,Federal Jurisdiction,15,189076,46.2,2.5,3.2,2025-10-21
All sectors,Q2 2023,Provincial Jurisdiction,36,119442,36.3,2.7,2.8,2025-10-21
All sectors,Q3 2023,All Jurisdictions,46,169307,37.5,5.4,4.3,2025-10-21
All sectors,Q3 2023,Federal Jurisdiction,12,36336,46.5,3.0,3.7,2025-10-21
All sectors,Q3 2023,Provincial Jurisdiction,34,132971,35.0,6.0,4.4,2025-10-21
All sectors,Q4 2023,All Jurisdictions,32,180530,48.9,4.0,3.0,2025-10-21
All sectors,Q4 2023,Federal Jurisdiction,4,26541,50.5,3.8,3.3,2025-10-21
All sectors,Q4 2023,Provincial Jurisdiction,28,153989,48.6,4.0,3.0,2025-10-21
All sectors,Q1 2024,All Jurisdictions,33,188927,45.9,3.0,2.6,2025-10-21
All sectors,Q1 2024,Federal Jurisdiction,6,14181,44.7,4.6,2.7,2025-10-21
All sectors,Q1 2024,Provincial Jurisdiction,27,174746,46.0,2.9,2.6,2025-10-21
All sectors,Q2 2024,All Jurisdictions,56,653329,53.5,5.3,3.5,2025-10-21
All sectors,Q2 2024,Federal Jurisdiction,6,32460,23.5,4.1,4.1,2025-10-21
All sectors,Q2 2024,Provincial Jurisdiction,50,620869,55.1,5.4,3.5,2025-10-21
All sectors,Q3 2024,All Jurisdictions,27,95429,42.8,4.1,3.3,2025-10-21
All sectors,Q3 2024,Federal Jurisdiction,4,10857,47.9,5.6,3.8,2025-10-21
All sectors,Q3 2024,Provincial Jurisdiction,23,84572,42.1,3.9,3.3,2025-10-21
All sectors,Q4 2024,All Jurisdictions,29,177872,50.3,4.8,3.7,2025-10-21
All sectors,Q4 2024,Federal Jurisdiction,7,11704,46.8,4.7,3.2,2025-10-21
All sectors,Q4 2024,Provincial Jurisdiction,22,166168,50.6,4.8,3.7,2025-10-21
All sectors,Q1 2025,All Jurisdictions,21,50994,49.7,4.2,3.4,2025-10-21
All sectors,Q1 2025,Federal Jurisdiction,6,13263,46.3,4.9,3.8,2025-10-21
All sectors,Q1 2025,Provincial Jurisdiction,15,37731,50.8,3.9,3.2,2025-10-21
All sectors,Q2 2025,All Jurisdictions,26,202589,46.9,5.8,4.4,2025-10-21
All sectors,Q2 2025,Federal Jurisdiction,1,733,48.0,5.0,4.5,2025-10-21
All sectors,Q2 2025,Provincial Jurisdiction,25,201856,46.9,5.8,4.4,2025-10-21
Private sector,Q3 2022,All Jurisdictions,17,54160,51.9,4.7,3.4,2025-10-21
Private sector,Q3 2022,Federal Jurisdiction,8,24579,51.0,3.6,3.1,2025-10-21
Private sector,Q3 2022,Provincial Jurisdiction,9,29581,52.7,5.7,3.6,2025-10-21
Private sector,Q4 2022,All Jurisdictions,9,15408,46.9,4.6,3.7,2025-10-21
Private sector,Q4 2022,Federal Jurisdiction,5,4688,49.5,3.0,2.7,2025-10-21
Private sector,Q4 2022,Provincial Jurisdiction,4,10720,45.7,5.3,4.2,2025-10-21
Private sector,Q1 2023,All Jurisdictions,10,26380,37.8,4.8,4.0,2025-10-21
Private sector,Q1 2023,Federal Jurisdiction,4,9390,55.0,1.0,2.5,2025-10-21
Private sector,Q1 2023,Provincial Jurisdiction,6,16990,28.3,6.9,4.9,2025-10-21
Private sector,Q2 2023,All Jurisdictions,18,34841,30.4,6.8,4.9,2025-10-21
Private sector,Q2 2023,Federal Jurisdiction,9,18021,29.8,7.4,4.5,2025-10-21
Private sector,Q2 2023,Provincial Jurisdiction,9,16820,31.2,6.3,5.4,2025-10-21
Private sector,Q3 2023,All Jurisdictions,14,24965,43.1,6.5,4.5,2025-10-21
Private sector,Q3 2023,Federal Jurisdiction,8,15341,45.7,4.8,4.6,2025-10-21
Private sector,Q3 2023,Provincial Jurisdiction,6,9624,39.0,9.1,4.3,2025-10-21
Private sector,Q4 2023,All Jurisdictions,10,35496,54.2,7.4,3.7,2025-10-21
Private sector,Q4 2023,Federal Jurisdiction,1,681,60.0,5.0,4.0,2025-10-21
Private sector,Q4 2023,Provincial Jurisdiction,9,34815,54.0,7.4,3.7,2025-10-21
Private sector,Q1 2024,All Jurisdictions,8,21291,42.5,2.6,2.4,2025-10-21
Private sector,Q1 2024,Federal Jurisdiction,3,3500,50.4,4.9,3.3,2025-10-21
Private sector,Q1 2024,Provincial Jurisdiction,5,17791,40.9,2.2,2.2,2025-10-21
Private sector,Q2 2024,All Jurisdictions,9,17020,28.5,4.9,4.2,2025-10-21
Private sector,Q2 2024,Federal Jurisdiction,5,13460,22.7,4.2,4.2,2025-10-21
Private sector,Q2 2024,Provincial Jurisdiction,4,3560,50.7,7.3,3.9,2025-10-21
Private sector,Q3 2024,All Jurisdictions,8,13506,33.5,7.7,4.5,2025-10-21
Private sector,Q3 2024,Federal Jurisdiction,2,1205,54.0,12.7,4.8,2025-10-21
Private sector,Q3 2024,Provincial Jurisdiction,6,12301,31.5,7.2,4.5,2025-10-21
Private sector,Q4 2024,All Jurisdictions,9,21097,53.3,3.0,3.5,2025-10-21
